"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1074","Traffic Zone 02047","28","Traffic Zone 16024","4/6/2016 - 4/6/2016, Every day, Daily Average",1801,1590,2039
"1074","Traffic Zone 02047","29","Traffic Zone 16025","4/6/2016 - 4/6/2016, Every day, Daily Average",1903,1707,2120
"1074","Traffic Zone 02047","48","Traffic Zone 16027","4/6/2016 - 4/6/2016, Every day, Daily Average",1918,1633,2251
"1074","Traffic Zone 02047","70","Traffic Zone 04118","4/6/2016 - 4/6/2016, Every day, Daily Average",2065,1731,2462
"1074","Traffic Zone 02047","74","Traffic Zone 04116","4/6/2016 - 4/6/2016, Every day, Daily Average",1711,1459,2005
"1074","Traffic Zone 02047","79","Traffic Zone 04135","4/6/2016 - 4/6/2016, Every day, Daily Average",1733,1529,1963
"1074","Traffic Zone 02047","83","Traffic Zone 04134","4/6/2016 - 4/6/2016, Every day, Daily Average",2161,1661,2810
"1074","Traffic Zone 02047","88","Traffic Zone 04136","4/6/2016 - 4/6/2016, Every day, Daily Average",1743,1545,1965
"1074","Traffic Zone 02047","89","Traffic Zone 04119","4/6/2016 - 4/6/2016, Every day, Daily Average",2074,1767,2434
"1074","Traffic Zone 02047","92","Traffic Zone 04133","4/6/2016 - 4/6/2016, Every day, Daily Average",1823,1457,2279
"1074","Traffic Zone 02047","97","Traffic Zone 04150","4/6/2016 - 4/6/2016, Every day, Daily Average",1694,1377,2083
"1074","Traffic Zone 02047","98","Traffic Zone 04132","4/6/2016 - 4/6/2016, Every day, Daily Average",1730,1407,2125
"1074","Traffic Zone 02047","113","Traffic Zone 04131","4/6/2016 - 4/6/2016, Every day, Daily Average",1641,1356,1984
"1074","Traffic Zone 02047","123","Traffic Zone 04149","4/6/2016 - 4/6/2016, Every day, Daily Average",1764,1400,2222
"1074","Traffic Zone 02047","128","Traffic Zone 04141","4/6/2016 - 4/6/2016, Every day, Daily Average",1860,1632,2119
"1074","Traffic Zone 02047","130","Traffic Zone 04148","4/6/2016 - 4/6/2016, Every day, Daily Average",1789,1442,2219
"1074","Traffic Zone 02047","134","Traffic Zone 04147","4/6/2016 - 4/6/2016, Every day, Daily Average",1614,1349,1930
"1074","Traffic Zone 02047","137","Traffic Zone 04129","4/6/2016 - 4/6/2016, Every day, Daily Average",1493,1233,1806
"1074","Traffic Zone 02047","139","Traffic Zone 08027","4/6/2016 - 4/6/2016, Every day, Daily Average",1905,1594,2275
"1074","Traffic Zone 02047","152","Traffic Zone 04142","4/6/2016 - 4/6/2016, Every day, Daily Average",1768,1533,2038
"1074","Traffic Zone 02047","154","Traffic Zone 04059","4/6/2016 - 4/6/2016, Every day, Daily Average",1630,1449,1833
"1074","Traffic Zone 02047","155","Traffic Zone 04128","4/6/2016 - 4/6/2016, Every day, Daily Average",1464,1172,1828
"1074","Traffic Zone 02047","156","Traffic Zone 04146","4/6/2016 - 4/6/2016, Every day, Daily Average",1611,1296,2001
"1074","Traffic Zone 02047","164","Traffic Zone 08028","4/6/2016 - 4/6/2016, Every day, Daily Average",1856,1583,2175
"1074","Traffic Zone 02047","166","Traffic Zone 04060","4/6/2016 - 4/6/2016, Every day, Daily Average",1485,1313,1679
"1074","Traffic Zone 02047","169","Traffic Zone 04130","4/6/2016 - 4/6/2016, Every day, Daily Average",1503,1195,1889
"1074","Traffic Zone 02047","173","Traffic Zone 07012","4/6/2016 - 4/6/2016, Every day, Daily Average",1663,1253,2206
"1074","Traffic Zone 02047","178","Traffic Zone 07022","4/6/2016 - 4/6/2016, Every day, Daily Average",1799,1340,2413
"1074","Traffic Zone 02047","184","Traffic Zone 04161","4/6/2016 - 4/6/2016, Every day, Daily Average",2119,1831,2451
"1074","Traffic Zone 02047","185","Traffic Zone 04073","4/6/2016 - 4/6/2016, Every day, Daily Average",1661,1512,1824
"1074","Traffic Zone 02047","189","Traffic Zone 04159","4/6/2016 - 4/6/2016, Every day, Daily Average",2117,1829,2450
"1074","Traffic Zone 02047","192","Traffic Zone 04061","4/6/2016 - 4/6/2016, Every day, Daily Average",1377,977,1939
"1074","Traffic Zone 02047","195","Traffic Zone 04078","4/6/2016 - 4/6/2016, Every day, Daily Average",1445,1161,1797
"1074","Traffic Zone 02047","204","Traffic Zone 07013","4/6/2016 - 4/6/2016, Every day, Daily Average",1613,1206,2157
"1074","Traffic Zone 02047","210","Traffic Zone 04062","4/6/2016 - 4/6/2016, Every day, Daily Average",1502,1255,1796
"1074","Traffic Zone 02047","215","Traffic Zone 07011","4/6/2016 - 4/6/2016, Every day, Daily Average",1735,1262,2383
"1074","Traffic Zone 02047","224","Traffic Zone 08163","4/6/2016 - 4/6/2016, Every day, Daily Average",1735,1478,2035
"1074","Traffic Zone 02047","229","Traffic Zone 04063","4/6/2016 - 4/6/2016, Every day, Daily Average",1343,970,1858
"1074","Traffic Zone 02047","233","Traffic Zone 04160","4/6/2016 - 4/6/2016, Every day, Daily Average",1979,1719,2277
"1074","Traffic Zone 02047","237","Traffic Zone 04079","4/6/2016 - 4/6/2016, Every day, Daily Average",1833,1396,2405
"1074","Traffic Zone 02047","239","Traffic Zone 07019","4/6/2016 - 4/6/2016, Every day, Daily Average",1542,1185,2006
"1074","Traffic Zone 02047","246","Traffic Zone 04076","4/6/2016 - 4/6/2016, Every day, Daily Average",1483,1342,1638
"1074","Traffic Zone 02047","251","Traffic Zone 07127","4/6/2016 - 4/6/2016, Every day, Daily Average",1258,1178,1342
"1074","Traffic Zone 02047","252","Traffic Zone 04064","4/6/2016 - 4/6/2016, Every day, Daily Average",1334,1068,1666
"1074","Traffic Zone 02047","254","Traffic Zone 04166","4/6/2016 - 4/6/2016, Every day, Daily Average",2025,1736,2360
"1074","Traffic Zone 02047","255","Traffic Zone 07088","4/6/2016 - 4/6/2016, Every day, Daily Average",1541,1326,1789
"1074","Traffic Zone 02047","260","Traffic Zone 04067","4/6/2016 - 4/6/2016, Every day, Daily Average",1611,1312,1977
"1074","Traffic Zone 02047","262","Traffic Zone 07146","4/6/2016 - 4/6/2016, Every day, Daily Average",1471,1139,1899
"1074","Traffic Zone 02047","263","Traffic Zone 07147","4/6/2016 - 4/6/2016, Every day, Daily Average",1460,1195,1783
"1074","Traffic Zone 02047","271","Traffic Zone 04165","4/6/2016 - 4/6/2016, Every day, Daily Average",1921,1649,2236
"1074","Traffic Zone 02047","273","Traffic Zone 04028","4/6/2016 - 4/6/2016, Every day, Daily Average",1278,1019,1601
"1074","Traffic Zone 02047","274","Traffic Zone 07141","4/6/2016 - 4/6/2016, Every day, Daily Average",1414,1095,1825
"1074","Traffic Zone 02047","275","Traffic Zone 04006","4/6/2016 - 4/6/2016, Every day, Daily Average",1220,968,1536
"1074","Traffic Zone 02047","282","Traffic Zone 08044","4/6/2016 - 4/6/2016, Every day, Daily Average",1608,1383,1869
"1074","Traffic Zone 02047","287","Traffic Zone 04050","4/6/2016 - 4/6/2016, Every day, Daily Average",1582,1237,2022
"1074","Traffic Zone 02047","288","Traffic Zone 08076","4/6/2016 - 4/6/2016, Every day, Daily Average",1751,1487,2061
"1074","Traffic Zone 02047","295","Traffic Zone 08170","4/6/2016 - 4/6/2016, Every day, Daily Average",1649,1422,1910
"1074","Traffic Zone 02047","296","Traffic Zone 08074","4/6/2016 - 4/6/2016, Every day, Daily Average",1717,1395,2112
"1074","Traffic Zone 02047","297","Traffic Zone 04075","4/6/2016 - 4/6/2016, Every day, Daily Average",1803,1507,2156
"1074","Traffic Zone 02047","301","Traffic Zone 08043","4/6/2016 - 4/6/2016, Every day, Daily Average",1579,1357,1836
"1074","Traffic Zone 02047","302","Traffic Zone 07056","4/6/2016 - 4/6/2016, Every day, Daily Average",1544,1395,1708
"1074","Traffic Zone 02047","303","Traffic Zone 07129","4/6/2016 - 4/6/2016, Every day, Daily Average",1266,1025,1562
"1074","Traffic Zone 02047","306","Traffic Zone 04029","4/6/2016 - 4/6/2016, Every day, Daily Average",1634,1238,2156
"1074","Traffic Zone 02047","309","Traffic Zone 08171","4/6/2016 - 4/6/2016, Every day, Daily Average",1649,1398,1944
"1074","Traffic Zone 02047","310","Traffic Zone 07142","4/6/2016 - 4/6/2016, Every day, Daily Average",1403,1259,1562
"1074","Traffic Zone 02047","312","Traffic Zone 07075","4/6/2016 - 4/6/2016, Every day, Daily Average",1567,1401,1751
"1074","Traffic Zone 02047","315","Traffic Zone 07130","4/6/2016 - 4/6/2016, Every day, Daily Average",1327,1055,1668
"1074","Traffic Zone 02047","317","Traffic Zone 08169","4/6/2016 - 4/6/2016, Every day, Daily Average",1547,1314,1820
"1074","Traffic Zone 02047","321","Traffic Zone 07132","4/6/2016 - 4/6/2016, Every day, Daily Average",1212,975,1505
"1074","Traffic Zone 02047","322","Traffic Zone 07135","4/6/2016 - 4/6/2016, Every day, Daily Average",1293,1121,1490
"1074","Traffic Zone 02047","327","Traffic Zone 07092","4/6/2016 - 4/6/2016, Every day, Daily Average",1573,1211,2043
"1074","Traffic Zone 02047","331","Traffic Zone 07145","4/6/2016 - 4/6/2016, Every day, Daily Average",1531,1379,1699
