"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1074","Traffic Zone 02047","2","Traffic Zone 16011","12/31/2019 - 12/31/2019, Every day, Daily Average",2135,1933,2357
"1074","Traffic Zone 02047","4","Traffic Zone 16010","12/31/2019 - 12/31/2019, Every day, Daily Average",2234,2016,2474
"1074","Traffic Zone 02047","5","Traffic Zone 14045","12/31/2019 - 12/31/2019, Every day, Daily Average",2260,1897,2691
"1074","Traffic Zone 02047","17","Traffic Zone 14047","12/31/2019 - 12/31/2019, Every day, Daily Average",2101,1768,2495
"1074","Traffic Zone 02047","21","Traffic Zone 18032","12/31/2019 - 12/31/2019, Every day, Daily Average",1581,1515,1649
"1074","Traffic Zone 02047","28","Traffic Zone 16024","12/31/2019 - 12/31/2019, Every day, Daily Average",1772,1599,1962
"1074","Traffic Zone 02047","29","Traffic Zone 16025","12/31/2019 - 12/31/2019, Every day, Daily Average",1935,1730,2163
"1074","Traffic Zone 02047","30","Traffic Zone 16026","12/31/2019 - 12/31/2019, Every day, Daily Average",2206,1981,2456
"1074","Traffic Zone 02047","34","Traffic Zone 14048","12/31/2019 - 12/31/2019, Every day, Daily Average",1989,1660,2382
"1074","Traffic Zone 02047","35","Traffic Zone 14080","12/31/2019 - 12/31/2019, Every day, Daily Average",1875,1580,2224
"1074","Traffic Zone 02047","41","Traffic Zone 04115","12/31/2019 - 12/31/2019, Every day, Daily Average",1921,1744,2115
"1074","Traffic Zone 02047","43","Traffic Zone 14072","12/31/2019 - 12/31/2019, Every day, Daily Average",1882,1602,2209
"1074","Traffic Zone 02047","48","Traffic Zone 16027","12/31/2019 - 12/31/2019, Every day, Daily Average",1841,1569,2159
"1074","Traffic Zone 02047","56","Traffic Zone 04113","12/31/2019 - 12/31/2019, Every day, Daily Average",1868,1689,2065
"1074","Traffic Zone 02047","57","Traffic Zone 04112","12/31/2019 - 12/31/2019, Every day, Daily Average",1825,1678,1984
"1074","Traffic Zone 02047","59","Traffic Zone 04117","12/31/2019 - 12/31/2019, Every day, Daily Average",1827,1734,1924
"1074","Traffic Zone 02047","64","Traffic Zone 14081","12/31/2019 - 12/31/2019, Every day, Daily Average",1746,1488,2048
"1074","Traffic Zone 02047","66","Traffic Zone 14090","12/31/2019 - 12/31/2019, Every day, Daily Average",1582,1444,1732
"1074","Traffic Zone 02047","70","Traffic Zone 04118","12/31/2019 - 12/31/2019, Every day, Daily Average",1680,1571,1795
"1074","Traffic Zone 02047","74","Traffic Zone 04116","12/31/2019 - 12/31/2019, Every day, Daily Average",1611,1447,1792
"1074","Traffic Zone 02047","75","Traffic Zone 18034","12/31/2019 - 12/31/2019, Every day, Daily Average",1646,1581,1713
"1074","Traffic Zone 02047","79","Traffic Zone 04135","12/31/2019 - 12/31/2019, Every day, Daily Average",1849,1679,2035
"1074","Traffic Zone 02047","80","Traffic Zone 14073","12/31/2019 - 12/31/2019, Every day, Daily Average",1762,1510,2055
"1074","Traffic Zone 02047","81","Traffic Zone 04137","12/31/2019 - 12/31/2019, Every day, Daily Average",1860,1712,2020
"1074","Traffic Zone 02047","83","Traffic Zone 04134","12/31/2019 - 12/31/2019, Every day, Daily Average",1600,1473,1737
"1074","Traffic Zone 02047","84","Traffic Zone 04111","12/31/2019 - 12/31/2019, Every day, Daily Average",2051,1834,2293
"1074","Traffic Zone 02047","87","Traffic Zone 04122","12/31/2019 - 12/31/2019, Every day, Daily Average",2049,1867,2247
"1074","Traffic Zone 02047","89","Traffic Zone 04119","12/31/2019 - 12/31/2019, Every day, Daily Average",1820,1657,1998
"1074","Traffic Zone 02047","90","Traffic Zone 04110","12/31/2019 - 12/31/2019, Every day, Daily Average",2011,1881,2149
"1074","Traffic Zone 02047","92","Traffic Zone 04133","12/31/2019 - 12/31/2019, Every day, Daily Average",1752,1614,1901
"1074","Traffic Zone 02047","93","Traffic Zone 04138","12/31/2019 - 12/31/2019, Every day, Daily Average",2057,1808,2339
"1074","Traffic Zone 02047","96","Traffic Zone 14076","12/31/2019 - 12/31/2019, Every day, Daily Average",1685,1438,1973
"1074","Traffic Zone 02047","97","Traffic Zone 04150","12/31/2019 - 12/31/2019, Every day, Daily Average",1565,1404,1743
"1074","Traffic Zone 02047","98","Traffic Zone 04132","12/31/2019 - 12/31/2019, Every day, Daily Average",1588,1402,1797
"1074","Traffic Zone 02047","106","Traffic Zone 08029","12/31/2019 - 12/31/2019, Every day, Daily Average",2075,1861,2313
"1074","Traffic Zone 02047","107","Traffic Zone 08026","12/31/2019 - 12/31/2019, Every day, Daily Average",1938,1703,2204
"1074","Traffic Zone 02047","110","Traffic Zone 04123","12/31/2019 - 12/31/2019, Every day, Daily Average",1866,1673,2080
"1074","Traffic Zone 02047","111","Traffic Zone 07005","12/31/2019 - 12/31/2019, Every day, Daily Average",1509,1366,1665
"1074","Traffic Zone 02047","113","Traffic Zone 04131","12/31/2019 - 12/31/2019, Every day, Daily Average",1552,1375,1751
"1074","Traffic Zone 02047","115","Traffic Zone 04058","12/31/2019 - 12/31/2019, Every day, Daily Average",2014,1901,2133
"1074","Traffic Zone 02047","117","Traffic Zone 07041","12/31/2019 - 12/31/2019, Every day, Daily Average",1462,1339,1595
"1074","Traffic Zone 02047","118","Traffic Zone 04056","12/31/2019 - 12/31/2019, Every day, Daily Average",1800,1657,1954
"1074","Traffic Zone 02047","120","Traffic Zone 07060","12/31/2019 - 12/31/2019, Every day, Daily Average",1649,1404,1935
"1074","Traffic Zone 02047","123","Traffic Zone 04149","12/31/2019 - 12/31/2019, Every day, Daily Average",1549,1365,1757
"1074","Traffic Zone 02047","125","Traffic Zone 07081","12/31/2019 - 12/31/2019, Every day, Daily Average",2086,1850,2352
"1074","Traffic Zone 02047","126","Traffic Zone 04140","12/31/2019 - 12/31/2019, Every day, Daily Average",1954,1777,2148
"1074","Traffic Zone 02047","128","Traffic Zone 04141","12/31/2019 - 12/31/2019, Every day, Daily Average",1891,1716,2082
"1074","Traffic Zone 02047","129","Traffic Zone 04124","12/31/2019 - 12/31/2019, Every day, Daily Average",1709,1547,1887
"1074","Traffic Zone 02047","130","Traffic Zone 04148","12/31/2019 - 12/31/2019, Every day, Daily Average",1474,1295,1676
"1074","Traffic Zone 02047","131","Traffic Zone 07061","12/31/2019 - 12/31/2019, Every day, Daily Average",1619,1372,1910
"1074","Traffic Zone 02047","134","Traffic Zone 04147","12/31/2019 - 12/31/2019, Every day, Daily Average",1534,1352,1740
"1074","Traffic Zone 02047","137","Traffic Zone 04129","12/31/2019 - 12/31/2019, Every day, Daily Average",1398,1243,1571
"1074","Traffic Zone 02047","138","Traffic Zone 04153","12/31/2019 - 12/31/2019, Every day, Daily Average",2097,1950,2253
"1074","Traffic Zone 02047","139","Traffic Zone 08027","12/31/2019 - 12/31/2019, Every day, Daily Average",1909,1650,2208
"1074","Traffic Zone 02047","141","Traffic Zone 07032","12/31/2019 - 12/31/2019, Every day, Daily Average",1512,1330,1718
