"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1074","Traffic Zone 02047","28","Traffic Zone 16024","1/2/2016 - 1/2/2016, Every day, Daily Average",1917,1668,2202
"1074","Traffic Zone 02047","48","Traffic Zone 16027","1/2/2016 - 1/2/2016, Every day, Daily Average",1957,1746,2193
"1074","Traffic Zone 02047","70","Traffic Zone 04118","1/2/2016 - 1/2/2016, Every day, Daily Average",1826,1616,2062
"1074","Traffic Zone 02047","74","Traffic Zone 04116","1/2/2016 - 1/2/2016, Every day, Daily Average",1749,1533,1995
"1074","Traffic Zone 02047","97","Traffic Zone 04150","1/2/2016 - 1/2/2016, Every day, Daily Average",1668,1492,1863
"1074","Traffic Zone 02047","98","Traffic Zone 04132","1/2/2016 - 1/2/2016, Every day, Daily Average",1708,1512,1928
"1074","Traffic Zone 02047","113","Traffic Zone 04131","1/2/2016 - 1/2/2016, Every day, Daily Average",1618,1432,1827
"1074","Traffic Zone 02047","123","Traffic Zone 04149","1/2/2016 - 1/2/2016, Every day, Daily Average",1626,1433,1844
"1074","Traffic Zone 02047","130","Traffic Zone 04148","1/2/2016 - 1/2/2016, Every day, Daily Average",1638,1344,1994
"1074","Traffic Zone 02047","134","Traffic Zone 04147","1/2/2016 - 1/2/2016, Every day, Daily Average",1616,1435,1819
"1074","Traffic Zone 02047","137","Traffic Zone 04129","1/2/2016 - 1/2/2016, Every day, Daily Average",1472,1269,1707
"1074","Traffic Zone 02047","155","Traffic Zone 04128","1/2/2016 - 1/2/2016, Every day, Daily Average",1408,1208,1641
"1074","Traffic Zone 02047","156","Traffic Zone 04146","1/2/2016 - 1/2/2016, Every day, Daily Average",1556,1353,1788
"1074","Traffic Zone 02047","164","Traffic Zone 08028","1/2/2016 - 1/2/2016, Every day, Daily Average",1806,1681,1939
"1074","Traffic Zone 02047","169","Traffic Zone 04130","1/2/2016 - 1/2/2016, Every day, Daily Average",1480,1270,1723
"1074","Traffic Zone 02047","173","Traffic Zone 07012","1/2/2016 - 1/2/2016, Every day, Daily Average",1539,1403,1687
"1074","Traffic Zone 02047","192","Traffic Zone 04061","1/2/2016 - 1/2/2016, Every day, Daily Average",1392,1180,1640
"1074","Traffic Zone 02047","193","Traffic Zone 04081","1/2/2016 - 1/2/2016, Every day, Daily Average",1771,1536,2041
"1074","Traffic Zone 02047","195","Traffic Zone 04078","1/2/2016 - 1/2/2016, Every day, Daily Average",1424,1229,1649
"1074","Traffic Zone 02047","197","Traffic Zone 04080","1/2/2016 - 1/2/2016, Every day, Daily Average",1673,1468,1905
"1074","Traffic Zone 02047","224","Traffic Zone 08163","1/2/2016 - 1/2/2016, Every day, Daily Average",1693,1528,1874
"1074","Traffic Zone 02047","226","Traffic Zone 07021","1/2/2016 - 1/2/2016, Every day, Daily Average",1433,1269,1617
"1074","Traffic Zone 02047","229","Traffic Zone 04063","1/2/2016 - 1/2/2016, Every day, Daily Average",1352,1142,1599
"1074","Traffic Zone 02047","237","Traffic Zone 04079","1/2/2016 - 1/2/2016, Every day, Daily Average",1610,1375,1884
"1074","Traffic Zone 02047","239","Traffic Zone 07019","1/2/2016 - 1/2/2016, Every day, Daily Average",1343,1202,1499
"1074","Traffic Zone 02047","246","Traffic Zone 04076","1/2/2016 - 1/2/2016, Every day, Daily Average",1460,1302,1636
"1074","Traffic Zone 02047","252","Traffic Zone 04064","1/2/2016 - 1/2/2016, Every day, Daily Average",1353,1124,1628
"1074","Traffic Zone 02047","255","Traffic Zone 07088","1/2/2016 - 1/2/2016, Every day, Daily Average",1521,1342,1723
