"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",570,380,853
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",716,443,1156
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","3/29/2016 - 3/29/2016, Every day, Daily Average",1323,1096,1596
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",1527,1147,2031
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","3/29/2016 - 3/29/2016, Every day, Daily Average",879,589,1310
"1116","Harborwalk, Waterfront, Boston","18","0 Lake Street, Billerica","3/29/2016 - 3/29/2016, Every day, Daily Average",1846,1359,2507
"1116","Harborwalk, Waterfront, Boston","20","0 Florence Street, Everett","3/29/2016 - 3/29/2016, Every day, Daily Average",1154,939,1417
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","3/29/2016 - 3/29/2016, Every day, Daily Average",488,273,869
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","3/29/2016 - 3/29/2016, Every day, Daily Average",342,160,727
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","3/29/2016 - 3/29/2016, Every day, Daily Average",1193,851,1671
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","3/29/2016 - 3/29/2016, Every day, Daily Average",1210,735,1991
"1116","Harborwalk, Waterfront, Boston","32","0 Gainsborough Street, Fenway/Kenmore, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",982,600,1606
"1116","Harborwalk, Waterfront, Boston","33","200 Prospect Avenue, Revere","3/29/2016 - 3/29/2016, Every day, Daily Average",792,537,1167
"1116","Harborwalk, Waterfront, Boston","37","0 Perrin Street, Roxbury, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",1110,611,2016
"1116","Harborwalk, Waterfront, Boston","38","McLean Street, Belmont","3/29/2016 - 3/29/2016, Every day, Daily Average",1684,1287,2202
"1116","Harborwalk, Waterfront, Boston","41","200 Sumner Street, East Boston, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",355,224,562
"1116","Harborwalk, Waterfront, Boston","46","300 River Street, Cambridgeport, Cambridge","3/29/2016 - 3/29/2016, Every day, Daily Average",926,630,1360
"1116","Harborwalk, Waterfront, Boston","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",944,612,1455
"1116","Harborwalk, Waterfront, Boston","48","100 Gove Street, East Boston, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",310,191,502
"1116","Harborwalk, Waterfront, Boston","51","0 Peterborough Street, West Fens, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",717,438,1172
"1116","Harborwalk, Waterfront, Boston","52","0 Berkshire Street, Wellington-Harrington, Cambridge","3/29/2016 - 3/29/2016, Every day, Daily Average",866,574,1305
"1116","Harborwalk, Waterfront, Boston","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",733,457,1175
"1116","Harborwalk, Waterfront, Boston","54","0 Binney Street, Arefth, Cambridge","3/29/2016 - 3/29/2016, Every day, Daily Average",698,449,1084
"1116","Harborwalk, Waterfront, Boston","58","100 Summit Avenue, Corey Hill, Brookline","3/29/2016 - 3/29/2016, Every day, Daily Average",1060,724,1551
"1116","Harborwalk, Waterfront, Boston","60","Pilgrims Highway, Weymouth","3/29/2016 - 3/29/2016, Every day, Daily Average",1443,1179,1765
"1116","Harborwalk, Waterfront, Boston","68","100 Beacon Street, Back Bay East, Boston","3/29/2016 - 3/29/2016, Every day, Daily Average",520,306,882
