"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",689,432,1097
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",771,493,1205
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","2/14/2018 - 2/14/2018, Every day, Daily Average",1147,885,1486
"1116","Harborwalk, Waterfront, Boston","14","400 Cushing Street, Hingham","2/14/2018 - 2/14/2018, Every day, Daily Average",1761,1268,2444
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1574,1149,2155
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","2/14/2018 - 2/14/2018, Every day, Daily Average",823,542,1249
"1116","Harborwalk, Waterfront, Boston","18","0 Lake Street, Billerica","2/14/2018 - 2/14/2018, Every day, Daily Average",1776,1278,2467
"1116","Harborwalk, Waterfront, Boston","19","200 Ocean Street, Lynn","2/14/2018 - 2/14/2018, Every day, Daily Average",1836,1564,2154
"1116","Harborwalk, Waterfront, Boston","20","0 Florence Street, Everett","2/14/2018 - 2/14/2018, Every day, Daily Average",1079,768,1515
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",498,258,958
"1116","Harborwalk, Waterfront, Boston","25","0 Baldpate Road, Georgetown","2/14/2018 - 2/14/2018, Every day, Daily Average",2055,1755,2405
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",362,161,810
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1392,948,2043
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","2/14/2018 - 2/14/2018, Every day, Daily Average",1404,867,2272
"1116","Harborwalk, Waterfront, Boston","32","0 Gainsborough Street, Fenway/Kenmore, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",929,628,1374
"1116","Harborwalk, Waterfront, Boston","33","200 Prospect Avenue, Revere","2/14/2018 - 2/14/2018, Every day, Daily Average",815,504,1317
"1116","Harborwalk, Waterfront, Boston","37","0 Perrin Street, Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1189,747,1892
"1116","Harborwalk, Waterfront, Boston","38","McLean Street, Belmont","2/14/2018 - 2/14/2018, Every day, Daily Average",1639,1242,2161
"1116","Harborwalk, Waterfront, Boston","40","0 Aycliffe Road, Swampscott","2/14/2018 - 2/14/2018, Every day, Daily Average",1962,1701,2262
"1116","Harborwalk, Waterfront, Boston","41","200 Sumner Street, East Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",409,226,737
"1116","Harborwalk, Waterfront, Boston","44","0 Georgetown Road, Boxford","2/14/2018 - 2/14/2018, Every day, Daily Average",1977,1610,2427
"1116","Harborwalk, Waterfront, Boston","46","300 River Street, Cambridgeport, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",990,653,1499
"1116","Harborwalk, Waterfront, Boston","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",890,582,1360
"1116","Harborwalk, Waterfront, Boston","48","100 Gove Street, East Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",401,216,741
"1116","Harborwalk, Waterfront, Boston","51","0 Peterborough Street, West Fens, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",730,461,1155
"1116","Harborwalk, Waterfront, Boston","52","0 Berkshire Street, Wellington-Harrington, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",944,611,1457
"1116","Harborwalk, Waterfront, Boston","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",709,441,1138
"1116","Harborwalk, Waterfront, Boston","54","0 Binney Street, Arefth, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",777,494,1221
"1116","Harborwalk, Waterfront, Boston","58","100 Summit Avenue, Corey Hill, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1169,823,1660
"1116","Harborwalk, Waterfront, Boston","60","Pilgrims Highway, Weymouth","2/14/2018 - 2/14/2018, Every day, Daily Average",1468,1045,2060
"1116","Harborwalk, Waterfront, Boston","62","200 Pond Street, Avon","2/14/2018 - 2/14/2018, Every day, Daily Average",1791,1358,2360
"1116","Harborwalk, Waterfront, Boston","65","0 Glen Road, Reading","2/14/2018 - 2/14/2018, Every day, Daily Average",1247,904,1718
"1116","Harborwalk, Waterfront, Boston","68","100 Beacon Street, Back Bay East, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",519,313,860
"1116","Harborwalk, Waterfront, Boston","69","0 Burrill Avenue, Lynn","2/14/2018 - 2/14/2018, Every day, Daily Average",1889,1631,2186
"1116","Harborwalk, Waterfront, Boston","72","0 Stonington Street, North Andover","2/14/2018 - 2/14/2018, Every day, Daily Average",2019,1697,2400
"1116","Harborwalk, Waterfront, Boston","77","0 The Mountain Road, Framingham","2/14/2018 - 2/14/2018, Every day, Daily Average",2541,1717,3759
"1116","Harborwalk, Waterfront, Boston","78","0 John Street, Woburn","2/14/2018 - 2/14/2018, Every day, Daily Average",1492,957,2326
"1116","Harborwalk, Waterfront, Boston","79","Massachusetts State House, Beacon Hill, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",239,85,666
"1116","Harborwalk, Waterfront, Boston","80","0 Bussell Road, West Medford, Medford","2/14/2018 - 2/14/2018, Every day, Daily Average",823,501,1351
"1116","Harborwalk, Waterfront, Boston","82","100 Private Alley 527, South End, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",843,605,1173
"1116","Harborwalk, Waterfront, Boston","83","0 Golden Drive, Winthrop","2/14/2018 - 2/14/2018, Every day, Daily Average",1120,934,1343
"1116","Harborwalk, Waterfront, Boston","89","0 Cottage Street, Lynn","2/14/2018 - 2/14/2018, Every day, Daily Average",946,782,1143
"1116","Harborwalk, Waterfront, Boston","92","Southeast Expressway, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1076,703,1646
"1116","Harborwalk, Waterfront, Boston","94","300 Marlborough Street, Back Bay, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",706,459,1085
"1116","Harborwalk, Waterfront, Boston","95","0 G Street, South Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",900,579,1398
"1116","Harborwalk, Waterfront, Boston","97","300 Bishops Forest Drive, Waltham","2/14/2018 - 2/14/2018, Every day, Daily Average",1697,1308,2200
"1116","Harborwalk, Waterfront, Boston","98","100 Suffolk Road, Chestnut Hill, Newton","2/14/2018 - 2/14/2018, Every day, Daily Average",1635,1194,2238
"1116","Harborwalk, Waterfront, Boston","105","100 Columbia Street, The Port, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",983,667,1447
"1116","Harborwalk, Waterfront, Boston","118","0 County Way Extension, Beverly","2/14/2018 - 2/14/2018, Every day, Daily Average",1797,1505,2145
"1116","Harborwalk, Waterfront, Boston","120","0 Cherrywood Circle, Andover","2/14/2018 - 2/14/2018, Every day, Daily Average",1987,1371,2879
"1116","Harborwalk, Waterfront, Boston","127","200 Vinton Street, Melrose","2/14/2018 - 2/14/2018, Every day, Daily Average",964,760,1221
"1116","Harborwalk, Waterfront, Boston","128","100 Glen Street, Malden","2/14/2018 - 2/14/2018, Every day, Daily Average",905,659,1241
"1116","Harborwalk, Waterfront, Boston","129","0 Glendale Street, Everett","2/14/2018 - 2/14/2018, Every day, Daily Average",1273,961,1684
"1116","Harborwalk, Waterfront, Boston","130","0 Cambria Street, Spring Hill, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",1091,736,1615
"1116","Harborwalk, Waterfront, Boston","131","2000 Massachusetts Avenue, North Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1325,958,1832
"1116","Harborwalk, Waterfront, Boston","132","0 Townsend Road, Belmont","2/14/2018 - 2/14/2018, Every day, Daily Average",1415,1108,1806
"1116","Harborwalk, Waterfront, Boston","133","0 Old Mill Road, West Concord, Concord","2/14/2018 - 2/14/2018, Every day, Daily Average",2515,1827,3460
"1116","Harborwalk, Waterfront, Boston","134","Yankee Division Highway, Waltham","2/14/2018 - 2/14/2018, Every day, Daily Average",2081,1570,2757
"1116","Harborwalk, Waterfront, Boston","135","100 Orchard Street, Watertown","2/14/2018 - 2/14/2018, Every day, Daily Average",1346,989,1831
"1116","Harborwalk, Waterfront, Boston","136","200 Adams Avenue, West Newton, Newton","2/14/2018 - 2/14/2018, Every day, Daily Average",1337,922,1938
"1116","Harborwalk, Waterfront, Boston","137","0 Badger Road, Framingham","2/14/2018 - 2/14/2018, Every day, Daily Average",2599,1762,3833
"1116","Harborwalk, Waterfront, Boston","140","100 Montclair Avenue, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1055,642,1731
"1116","Harborwalk, Waterfront, Boston","141","0 Brooks Avenue, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1210,843,1735
"1116","Harborwalk, Waterfront, Boston","144","900 Massachusetts 139, Stoughton","2/14/2018 - 2/14/2018, Every day, Daily Average",1813,1289,2549
"1116","Harborwalk, Waterfront, Boston","150","Monastery Path, Brighton, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1278,951,1716
"1116","Harborwalk, Waterfront, Boston","151","300 Commercial Street, North End, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",182,58,569
"1116","Harborwalk, Waterfront, Boston","152","400 Border Street, East Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",687,432,1090
"1116","Harborwalk, Waterfront, Boston","153","200 Marginal Street, Jeffries Point, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",533,298,950
"1116","Harborwalk, Waterfront, Boston","154","700 Washington Street, Downtown, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",472,276,806
"1116","Harborwalk, Waterfront, Boston","155","100 West Springfield Street, South End, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",891,582,1363
"1116","Harborwalk, Waterfront, Boston","156","0 Academy Road, Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1124,755,1672
"1116","Harborwalk, Waterfront, Boston","157","100 Train Street, Dorchester, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1297,845,1989
"1116","Harborwalk, Waterfront, Boston","159","0 Congress Avenue, Chelsea","2/14/2018 - 2/14/2018, Every day, Daily Average",814,532,1245
"1116","Harborwalk, Waterfront, Boston","160","0 Franklin Place, Revere","2/14/2018 - 2/14/2018, Every day, Daily Average",801,499,1285
"1116","Harborwalk, Waterfront, Boston","167","0 Miner Street, Fenway/Kenmore, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",841,559,1264
"1116","Harborwalk, Waterfront, Boston","184","0 South Street, Lynn","2/14/2018 - 2/14/2018, Every day, Daily Average",1206,899,1616
"1116","Harborwalk, Waterfront, Boston","185","0 Paleologos Street, Peabody","2/14/2018 - 2/14/2018, Every day, Daily Average",1599,1364,1874
"1116","Harborwalk, Waterfront, Boston","192","0 Fazio Farm Road, Georgetown","2/14/2018 - 2/14/2018, Every day, Daily Average",2177,1865,2539
"1116","Harborwalk, Waterfront, Boston","200","100 Orange Street, Reading","2/14/2018 - 2/14/2018, Every day, Daily Average",960,715,1288
"1116","Harborwalk, Waterfront, Boston","201","0 Cleveland Street, Melrose","2/14/2018 - 2/14/2018, Every day, Daily Average",1033,781,1364
"1116","Harborwalk, Waterfront, Boston","202","0 Girard Road, Winchester","2/14/2018 - 2/14/2018, Every day, Daily Average",1609,1086,2383
"1116","Harborwalk, Waterfront, Boston","203","0 Hall Street, Medford","2/14/2018 - 2/14/2018, Every day, Daily Average",527,295,940
"1116","Harborwalk, Waterfront, Boston","204","0 Mohan Street, Everett","2/14/2018 - 2/14/2018, Every day, Daily Average",1319,1036,1678
"1116","Harborwalk, Waterfront, Boston","205","0 Cutler Street, Magoun Square, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",828,558,1227
"1116","Harborwalk, Waterfront, Boston","206","0 Claremon Street, Teele Square, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",1152,789,1680
"1116","Harborwalk, Waterfront, Boston","207","0 Museum Way, East Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",498,233,1060
"1116","Harborwalk, Waterfront, Boston","208","0 Jefferson Street, Wellington-Harrington, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",919,615,1372
"1116","Harborwalk, Waterfront, Boston","209","100 Magazine Street, Cambridgeport, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",971,659,1429
"1116","Harborwalk, Waterfront, Boston","210","0 Cowperthwaite Garage, Cowperthwaite Street, Riverside, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",966,670,1392
"1116","Harborwalk, Waterfront, Boston","211","0 Haskell Street, North Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1333,894,1987
"1116","Harborwalk, Waterfront, Boston","212","100 Claremont Avenue, Arlington","2/14/2018 - 2/14/2018, Every day, Daily Average",1432,987,2077
"1116","Harborwalk, Waterfront, Boston","213","0 Gorham Road, Belmont","2/14/2018 - 2/14/2018, Every day, Daily Average",1471,1113,1943
"1116","Harborwalk, Waterfront, Boston","215","0 Rose Avenue, Watertown","2/14/2018 - 2/14/2018, Every day, Daily Average",1432,1053,1946
"1116","Harborwalk, Waterfront, Boston","216","200 Cabot Street, Newtonville, Newton","2/14/2018 - 2/14/2018, Every day, Daily Average",1136,774,1665
"1116","Harborwalk, Waterfront, Boston","217","0 Hartford Street, Natick","2/14/2018 - 2/14/2018, Every day, Daily Average",2283,1702,3062
"1116","Harborwalk, Waterfront, Boston","220","100 Coolidge Street, North Brookline, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1182,873,1599
"1116","Harborwalk, Waterfront, Boston","221","0 Colbourne Crescent, Aspinwall Hill, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1358,960,1919
"1116","Harborwalk, Waterfront, Boston","222","0 Walnut Place, High Street Hill, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1505,1071,2113
"1116","Harborwalk, Waterfront, Boston","223","0 Berkshire Road, Babson Park, Wellesley","2/14/2018 - 2/14/2018, Every day, Daily Average",1973,1416,2747
"1116","Harborwalk, Waterfront, Boston","227","1100 Commonwealth Avenue, Allston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1241,935,1645
"1116","Harborwalk, Waterfront, Boston","228","200 Central Avenue, Milton","2/14/2018 - 2/14/2018, Every day, Daily Average",1508,958,2372
"1116","Harborwalk, Waterfront, Boston","229","100 Main Street, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1532,1207,1943
"1116","Harborwalk, Waterfront, Boston","237","Fall River Expressway, Brockton","2/14/2018 - 2/14/2018, Every day, Daily Average",2025,1569,2613
"1116","Harborwalk, Waterfront, Boston","241","100 Colborne Road, Brighton, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1488,1119,1977
"1116","Harborwalk, Waterfront, Boston","242","0 Park Street, Charlestown, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",438,251,763
"1116","Harborwalk, Waterfront, Boston","243","0 San Juan Street, South End, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",754,497,1142
"1116","Harborwalk, Waterfront, Boston","244","500 Columbus Avenue, South End, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",916,640,1309
"1116","Harborwalk, Waterfront, Boston","245","100 Saint Alphonsus Street, Mission Hill, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1171,817,1677
"1116","Harborwalk, Waterfront, Boston","246","300 Mount Vernon Street, Dorchester, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",849,479,1501
"1116","Harborwalk, Waterfront, Boston","247","0 Bowdoin Avenue, Dorchester, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1408,936,2115
"1116","Harborwalk, Waterfront, Boston","248","0 Evans Street, West Codman Hill / West Lower Mills, Dorchester Center, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1487,1012,2183
"1116","Harborwalk, Waterfront, Boston","249","200 River Street, Mattapan, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1418,972,2067
"1116","Harborwalk, Waterfront, Boston","250","0 Gretter Road, West Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1684,1240,2285
"1116","Harborwalk, Waterfront, Boston","251","0 Grotto Glen Road, Jamaica Plain, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1280,895,1830
"1116","Harborwalk, Waterfront, Boston","252","0 Grove Street, West Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",2257,1715,2970
"1116","Harborwalk, Waterfront, Boston","253","0 Kimball Road, Chelsea","2/14/2018 - 2/14/2018, Every day, Daily Average",714,427,1192
"1116","Harborwalk, Waterfront, Boston","254","1200 North Shore Road, Revere","2/14/2018 - 2/14/2018, Every day, Daily Average",1045,758,1439
"1116","Harborwalk, Waterfront, Boston","255","Rosedale Avenue, Forest Hills / Woodbourne, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1598,1061,2405
"1116","Harborwalk, Waterfront, Boston","261","0 6th Street, Arefth, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",831,536,1287
"1116","Harborwalk, Waterfront, Boston","270","0 Sugar Hill Circle, Methuen","2/14/2018 - 2/14/2018, Every day, Daily Average",2060,1365,3107
"1116","Harborwalk, Waterfront, Boston","273","500 Trull Road, North Tewksbury, Tewksbury","2/14/2018 - 2/14/2018, Every day, Daily Average",2517,1725,3671
"1116","Harborwalk, Waterfront, Boston","274","0 Jensen Avenue, Chelmsford","2/14/2018 - 2/14/2018, Every day, Daily Average",2194,1654,2908
"1116","Harborwalk, Waterfront, Boston","275","0 Theresa Road, Stoneham","2/14/2018 - 2/14/2018, Every day, Daily Average",1233,907,1675
"1116","Harborwalk, Waterfront, Boston","276","0 Howard Street, Malden","2/14/2018 - 2/14/2018, Every day, Daily Average",1194,881,1616
"1116","Harborwalk, Waterfront, Boston","277","0 Edwin H Land Boulevard, East Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",645,371,1120
"1116","Harborwalk, Waterfront, Boston","279","200 Seminole Avenue, Lakeview, Waltham","2/14/2018 - 2/14/2018, Every day, Daily Average",1835,1360,2475
"1116","Harborwalk, Waterfront, Boston","280","0 Linder Terrace, Hunnewell Hill, Newton","2/14/2018 - 2/14/2018, Every day, Daily Average",980,651,1473
"1116","Harborwalk, Waterfront, Boston","281","0 Meadowbrook Road, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1409,902,2199
"1116","Harborwalk, Waterfront, Boston","285","100 Foster Street, Brighton, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1459,1116,1905
"1116","Harborwalk, Waterfront, Boston","286","0 Border Street, East Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",199,86,460
"1116","Harborwalk, Waterfront, Boston","287","0 Murray Way, South Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1097,686,1752
"1116","Harborwalk, Waterfront, Boston","288","0 Wakullah Street, Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1076,694,1665
"1116","Harborwalk, Waterfront, Boston","289","500 Baker Street, West Roxbury, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1876,1468,2397
"1116","Harborwalk, Waterfront, Boston","290","100 Tremont Street, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",361,195,666
"1116","Harborwalk, Waterfront, Boston","294","0 Chelsea Street, East Boston, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",199,102,385
"1116","Harborwalk, Waterfront, Boston","296","0 Cleverly Court, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1877,1284,2742
"1116","Harborwalk, Waterfront, Boston","297","100 Arlington Street, Bay Village, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",601,349,1032
"1116","Harborwalk, Waterfront, Boston","298","100 Whitford Street, Roslindale, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1983,1495,2629
"1116","Harborwalk, Waterfront, Boston","299","0 Round Hill Street, Jamaica Plain, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1222,842,1771
"1116","Harborwalk, Waterfront, Boston","302","0 Leon Street, Fenway/Kenmore, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",846,542,1319
"1116","Harborwalk, Waterfront, Boston","309","0 Fernwood Drive, Westford","2/14/2018 - 2/14/2018, Every day, Daily Average",2521,1862,3411
"1116","Harborwalk, Waterfront, Boston","310","0 Sharon Street, Malden","2/14/2018 - 2/14/2018, Every day, Daily Average",1346,988,1833
"1116","Harborwalk, Waterfront, Boston","311","800 Monument Street, Concord","2/14/2018 - 2/14/2018, Every day, Daily Average",2274,1605,3221
"1116","Harborwalk, Waterfront, Boston","316","Edgeworth, Charlestown, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",477,268,845
"1116","Harborwalk, Waterfront, Boston","317","100 Bowen Street, D Street / West Broadway, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",855,541,1350
"1116","Harborwalk, Waterfront, Boston","318","0 Stella Road, Roslindale, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1776,1334,2363
"1116","Harborwalk, Waterfront, Boston","320","0 Pleasant Street, North Brookline, Brookline","2/14/2018 - 2/14/2018, Every day, Daily Average",1057,734,1520
"1116","Harborwalk, Waterfront, Boston","328","0 Clinton Street, Everett","2/14/2018 - 2/14/2018, Every day, Daily Average",1059,729,1537
"1116","Harborwalk, Waterfront, Boston","329","0 Tyler Street, Ward Two, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",950,610,1479
"1116","Harborwalk, Waterfront, Boston","330","100 Vassal Lane, West Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1139,842,1539
"1116","Harborwalk, Waterfront, Boston","331","0 Seaport Drive, Marina Bay, Quincy","2/14/2018 - 2/14/2018, Every day, Daily Average",1159,695,1932
"1116","Harborwalk, Waterfront, Boston","333","0 Huntington Avenue, Prudential / St. Botolph, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",716,428,1196
"1116","Harborwalk, Waterfront, Boston","334","0 Westbourne Street, Roslindale, Boston","2/14/2018 - 2/14/2018, Every day, Daily Average",1857,1462,2358
"1116","Harborwalk, Waterfront, Boston","335","100 Everett Avenue, Chelsea","2/14/2018 - 2/14/2018, Every day, Daily Average",657,392,1098
"1116","Harborwalk, Waterfront, Boston","340","0 Bent Avenue, Cochituate, Wayland","2/14/2018 - 2/14/2018, Every day, Daily Average",1782,1239,2562
"1116","Harborwalk, Waterfront, Boston","341","0 Fountain Avenue, East Somerville, Somerville","2/14/2018 - 2/14/2018, Every day, Daily Average",707,400,1249
"1116","Harborwalk, Waterfront, Boston","360","0 Landsdowne Street, MIT, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",854,560,1300
"1116","Harborwalk, Waterfront, Boston","361","0 Hayes Street, Riverside, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1073,752,1529
"1116","Harborwalk, Waterfront, Boston","362","0 Roberts Road, Mid-Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1172,824,1666
"1116","Harborwalk, Waterfront, Boston","363","0 Channing Street, West Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",985,729,1330
"1116","Harborwalk, Waterfront, Boston","364","0 Richard Avenue, North Cambridge, Cambridge","2/14/2018 - 2/14/2018, Every day, Daily Average",1118,749,1666
"1116","Harborwalk, Waterfront, Boston","365","100 Palmer Street, Arlington","2/14/2018 - 2/14/2018, Every day, Daily Average",1202,726,1988
"1116","Harborwalk, Waterfront, Boston","366","0 Eastern Avenue, Arlington","2/14/2018 - 2/14/2018, Every day, Daily Average",1402,967,2032
"1116","Harborwalk, Waterfront, Boston","367","0 Pleasant Street, Lexington","2/14/2018 - 2/14/2018, Every day, Daily Average",1506,1077,2105
"1116","Harborwalk, Waterfront, Boston","368","0 Hayden Avenue, Lexington","2/14/2018 - 2/14/2018, Every day, Daily Average",1706,1186,2452
"1116","Harborwalk, Waterfront, Boston","369","200 Waltham Street, Lexington","2/14/2018 - 2/14/2018, Every day, Daily Average",1829,1295,2582
"1116","Harborwalk, Waterfront, Boston","370","100 Old Billerica Road, Bedford","2/14/2018 - 2/14/2018, Every day, Daily Average",1963,1263,3050
"1116","Harborwalk, Waterfront, Boston","374","0 Connector Road, Westborough","2/14/2018 - 2/14/2018, Every day, Daily Average",2520,1990,3190
