"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",509,334,774
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",558,400,778
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","1/2/2016 - 1/2/2016, Every day, Daily Average",1250,993,1573
"1116","Harborwalk, Waterfront, Boston","14","400 Cushing Street, Hingham","1/2/2016 - 1/2/2016, Every day, Daily Average",1701,1244,2325
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",1483,1036,2121
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","1/2/2016 - 1/2/2016, Every day, Daily Average",781,562,1084
"1116","Harborwalk, Waterfront, Boston","19","200 Ocean Street, Lynn","1/2/2016 - 1/2/2016, Every day, Daily Average",1349,1143,1591
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","1/2/2016 - 1/2/2016, Every day, Daily Average",423,239,746
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","1/2/2016 - 1/2/2016, Every day, Daily Average",306,144,648
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","1/2/2016 - 1/2/2016, Every day, Daily Average",949,715,1259
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","1/2/2016 - 1/2/2016, Every day, Daily Average",910,683,1211
"1116","Harborwalk, Waterfront, Boston","32","0 Gainsborough Street, Fenway/Kenmore, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",642,412,998
"1116","Harborwalk, Waterfront, Boston","33","200 Prospect Avenue, Revere","1/2/2016 - 1/2/2016, Every day, Daily Average",684,424,1101
"1116","Harborwalk, Waterfront, Boston","37","0 Perrin Street, Roxbury, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",692,492,971
"1116","Harborwalk, Waterfront, Boston","40","0 Aycliffe Road, Swampscott","1/2/2016 - 1/2/2016, Every day, Daily Average",1466,1259,1706
"1116","Harborwalk, Waterfront, Boston","41","200 Sumner Street, East Boston, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",350,223,547
"1116","Harborwalk, Waterfront, Boston","46","300 River Street, Cambridgeport, Cambridge","1/2/2016 - 1/2/2016, Every day, Daily Average",887,596,1318
"1116","Harborwalk, Waterfront, Boston","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",732,535,1000
"1116","Harborwalk, Waterfront, Boston","48","100 Gove Street, East Boston, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",315,191,517
"1116","Harborwalk, Waterfront, Boston","51","0 Peterborough Street, West Fens, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",561,362,868
"1116","Harborwalk, Waterfront, Boston","52","0 Berkshire Street, Wellington-Harrington, Cambridge","1/2/2016 - 1/2/2016, Every day, Daily Average",647,425,984
"1116","Harborwalk, Waterfront, Boston","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",574,383,859
"1116","Harborwalk, Waterfront, Boston","54","0 Binney Street, Arefth, Cambridge","1/2/2016 - 1/2/2016, Every day, Daily Average",574,352,935
"1116","Harborwalk, Waterfront, Boston","58","100 Summit Avenue, Corey Hill, Brookline","1/2/2016 - 1/2/2016, Every day, Daily Average",914,666,1253
"1116","Harborwalk, Waterfront, Boston","60","Pilgrims Highway, Weymouth","1/2/2016 - 1/2/2016, Every day, Daily Average",1377,1115,1699
"1116","Harborwalk, Waterfront, Boston","68","100 Beacon Street, Back Bay East, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",408,238,698
"1116","Harborwalk, Waterfront, Boston","69","0 Burrill Avenue, Lynn","1/2/2016 - 1/2/2016, Every day, Daily Average",1392,1199,1615
"1116","Harborwalk, Waterfront, Boston","79","Massachusetts State House, Beacon Hill, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",219,72,660
"1116","Harborwalk, Waterfront, Boston","80","0 Bussell Road, West Medford, Medford","1/2/2016 - 1/2/2016, Every day, Daily Average",622,442,874
"1116","Harborwalk, Waterfront, Boston","82","100 Private Alley 527, South End, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",631,458,869
"1116","Harborwalk, Waterfront, Boston","83","0 Golden Drive, Winthrop","1/2/2016 - 1/2/2016, Every day, Daily Average",952,776,1167
"1116","Harborwalk, Waterfront, Boston","89","0 Cottage Street, Lynn","1/2/2016 - 1/2/2016, Every day, Daily Average",1188,966,1460
"1116","Harborwalk, Waterfront, Boston","92","Southeast Expressway, Quincy","1/2/2016 - 1/2/2016, Every day, Daily Average",959,677,1357
"1116","Harborwalk, Waterfront, Boston","94","300 Marlborough Street, Back Bay, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",517,315,846
"1116","Harborwalk, Waterfront, Boston","95","0 G Street, South Boston, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",642,472,871
"1116","Harborwalk, Waterfront, Boston","98","100 Suffolk Road, Chestnut Hill, Newton","1/2/2016 - 1/2/2016, Every day, Daily Average",1434,1145,1795
"1116","Harborwalk, Waterfront, Boston","105","100 Columbia Street, The Port, Cambridge","1/2/2016 - 1/2/2016, Every day, Daily Average",795,557,1133
"1116","Harborwalk, Waterfront, Boston","120","0 Cherrywood Circle, Andover","1/2/2016 - 1/2/2016, Every day, Daily Average",1386,1290,1488
"1116","Harborwalk, Waterfront, Boston","128","100 Glen Street, Malden","1/2/2016 - 1/2/2016, Every day, Daily Average",853,755,962
"1116","Harborwalk, Waterfront, Boston","129","0 Glendale Street, Everett","1/2/2016 - 1/2/2016, Every day, Daily Average",857,638,1150
"1116","Harborwalk, Waterfront, Boston","130","0 Cambria Street, Spring Hill, Somerville","1/2/2016 - 1/2/2016, Every day, Daily Average",752,546,1033
"1116","Harborwalk, Waterfront, Boston","131","2000 Massachusetts Avenue, North Cambridge, Cambridge","1/2/2016 - 1/2/2016, Every day, Daily Average",905,752,1088
"1116","Harborwalk, Waterfront, Boston","134","Yankee Division Highway, Waltham","1/2/2016 - 1/2/2016, Every day, Daily Average",1873,1404,2498
"1116","Harborwalk, Waterfront, Boston","135","100 Orchard Street, Watertown","1/2/2016 - 1/2/2016, Every day, Daily Average",1274,896,1809
"1116","Harborwalk, Waterfront, Boston","136","200 Adams Avenue, West Newton, Newton","1/2/2016 - 1/2/2016, Every day, Daily Average",1190,847,1670
"1116","Harborwalk, Waterfront, Boston","140","100 Montclair Avenue, Quincy","1/2/2016 - 1/2/2016, Every day, Daily Average",786,596,1035
"1116","Harborwalk, Waterfront, Boston","141","0 Brooks Avenue, Quincy","1/2/2016 - 1/2/2016, Every day, Daily Average",1010,767,1329
"1116","Harborwalk, Waterfront, Boston","150","Monastery Path, Brighton, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",1004,791,1272
"1116","Harborwalk, Waterfront, Boston","151","300 Commercial Street, North End, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",201,74,541
"1116","Harborwalk, Waterfront, Boston","152","400 Border Street, East Boston, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",486,315,748
"1116","Harborwalk, Waterfront, Boston","153","200 Marginal Street, Jeffries Point, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",426,261,693
"1116","Harborwalk, Waterfront, Boston","154","700 Washington Street, Downtown, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",394,230,673
"1116","Harborwalk, Waterfront, Boston","155","100 West Springfield Street, South End, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",635,431,934
"1116","Harborwalk, Waterfront, Boston","156","0 Academy Road, Roxbury, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",915,700,1195
"1116","Harborwalk, Waterfront, Boston","157","100 Train Street, Dorchester, Boston","1/2/2016 - 1/2/2016, Every day, Daily Average",922,697,1219
"1116","Harborwalk, Waterfront, Boston","159","0 Congress Avenue, Chelsea","1/2/2016 - 1/2/2016, Every day, Daily Average",645,477,872
"1116","Harborwalk, Waterfront, Boston","160","0 Franklin Place, Revere","1/2/2016 - 1/2/2016, Every day, Daily Average",656,439,979
