"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1536","Traffic Zone 222420000","41","Traffic Zone 213710201","4/10/2016 - 4/10/2016, Every day, Daily Average",2530,1646,3886
"1536","Traffic Zone 222420000","53","Traffic Zone 213710202","4/10/2016 - 4/10/2016, Every day, Daily Average",2227,1531,3237
"1536","Traffic Zone 222420000","61","Traffic Zone 213490200","4/10/2016 - 4/10/2016, Every day, Daily Average",1888,1587,2245
"1536","Traffic Zone 222420000","62","Traffic Zone 213710200","4/10/2016 - 4/10/2016, Every day, Daily Average",2177,1507,3143
"1536","Traffic Zone 222420000","83","Traffic Zone 213930100","4/10/2016 - 4/10/2016, Every day, Daily Average",2141,1498,3059
"1536","Traffic Zone 222420000","95","Traffic Zone 213930200","4/10/2016 - 4/10/2016, Every day, Daily Average",1918,1336,2752
"1536","Traffic Zone 222420000","98","Traffic Zone 213930300","4/10/2016 - 4/10/2016, Every day, Daily Average",1833,1272,2641
"1536","Traffic Zone 222420000","107","Traffic Zone 213920000","4/10/2016 - 4/10/2016, Every day, Daily Average",1782,1234,2572
"1536","Traffic Zone 222420000","113","Traffic Zone 211510100","4/10/2016 - 4/10/2016, Every day, Daily Average",2045,1600,2612
"1536","Traffic Zone 222420000","122","Traffic Zone 211730200","4/10/2016 - 4/10/2016, Every day, Daily Average",2016,1593,2550
"1536","Traffic Zone 222420000","123","Traffic Zone 213900000","4/10/2016 - 4/10/2016, Every day, Daily Average",1676,1132,2480
"1536","Traffic Zone 222420000","128","Traffic Zone 212760200","4/10/2016 - 4/10/2016, Every day, Daily Average",1716,1218,2416
"1536","Traffic Zone 222420000","129","Traffic Zone 214150000","4/10/2016 - 4/10/2016, Every day, Daily Average",1376,906,2087
"1536","Traffic Zone 222420000","130","Traffic Zone 212760100","4/10/2016 - 4/10/2016, Every day, Daily Average",1923,1471,2513
"1536","Traffic Zone 222420000","133","Traffic Zone 214140000","4/10/2016 - 4/10/2016, Every day, Daily Average",1568,1013,2427
"1536","Traffic Zone 222420000","134","Traffic Zone 211720000","4/10/2016 - 4/10/2016, Every day, Daily Average",1958,1602,2392
"1536","Traffic Zone 222420000","135","Traffic Zone 212730000","4/10/2016 - 4/10/2016, Every day, Daily Average",1760,1275,2429
"1536","Traffic Zone 222420000","136","Traffic Zone 212771000","4/10/2016 - 4/10/2016, Every day, Daily Average",1571,1168,2111
"1536","Traffic Zone 222420000","137","Traffic Zone 211740600","4/10/2016 - 4/10/2016, Every day, Daily Average",1691,1259,2270
"1536","Traffic Zone 222420000","139","Traffic Zone 212752000","4/10/2016 - 4/10/2016, Every day, Daily Average",1704,1286,2256
"1536","Traffic Zone 222420000","140","Traffic Zone 214130200","4/10/2016 - 4/10/2016, Every day, Daily Average",1437,986,2093
"1536","Traffic Zone 222420000","145","Traffic Zone 212840000","4/10/2016 - 4/10/2016, Every day, Daily Average",1617,1256,2080
"1536","Traffic Zone 222420000","147","Traffic Zone 214160000","4/10/2016 - 4/10/2016, Every day, Daily Average",1198,886,1618
"1536","Traffic Zone 222420000","148","Traffic Zone 212891000","4/10/2016 - 4/10/2016, Every day, Daily Average",1779,1151,2749
"1536","Traffic Zone 222420000","150","Traffic Zone 212880000","4/10/2016 - 4/10/2016, Every day, Daily Average",1566,1199,2043
"1536","Traffic Zone 222420000","170","Traffic Zone 212870200","4/10/2016 - 4/10/2016, Every day, Daily Average",1776,1182,2666
"1536","Traffic Zone 222420000","181","Traffic Zone 212460000","4/10/2016 - 4/10/2016, Every day, Daily Average",1721,1129,2622
"1536","Traffic Zone 222420000","189","Traffic Zone 212200000","4/10/2016 - 4/10/2016, Every day, Daily Average",1633,1075,2479
"1536","Traffic Zone 222420000","191","Traffic Zone 212470000","4/10/2016 - 4/10/2016, Every day, Daily Average",1577,1004,2476
"1536","Traffic Zone 222420000","193","Traffic Zone 214340000","4/10/2016 - 4/10/2016, Every day, Daily Average",1551,991,2426
"1536","Traffic Zone 222420000","194","Traffic Zone 214350000","4/10/2016 - 4/10/2016, Every day, Daily Average",1565,1092,2241
"1536","Traffic Zone 222420000","197","Traffic Zone 212160000","4/10/2016 - 4/10/2016, Every day, Daily Average",1507,964,2355
"1536","Traffic Zone 222420000","198","Traffic Zone 212330400","4/10/2016 - 4/10/2016, Every day, Daily Average",1201,952,1514
"1536","Traffic Zone 222420000","200","Traffic Zone 212102000","4/10/2016 - 4/10/2016, Every day, Daily Average",1097,907,1325
"1536","Traffic Zone 222420000","201","Traffic Zone 212101000","4/10/2016 - 4/10/2016, Every day, Daily Average",1159,960,1399
"1536","Traffic Zone 222420000","203","Traffic Zone 212330100","4/10/2016 - 4/10/2016, Every day, Daily Average",1261,971,1637
