"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1536","Traffic Zone 222420000","2","Traffic Zone 280020100","9/29/2018 - 9/29/2018, Every day, Daily Average",2155,1751,2652
"1536","Traffic Zone 222420000","4","Traffic Zone 280010200","9/29/2018 - 9/29/2018, Every day, Daily Average",2447,2033,2944
"1536","Traffic Zone 222420000","6","Traffic Zone 292031200","9/29/2018 - 9/29/2018, Every day, Daily Average",2092,1576,2776
"1536","Traffic Zone 222420000","13","Traffic Zone 293020000","9/29/2018 - 9/29/2018, Every day, Daily Average",2193,1664,2889
"1536","Traffic Zone 222420000","21","Traffic Zone 213700000","9/29/2018 - 9/29/2018, Every day, Daily Average",1959,1606,2389
"1536","Traffic Zone 222420000","30","Traffic Zone 213720100","9/29/2018 - 9/29/2018, Every day, Daily Average",2000,1602,2495
"1536","Traffic Zone 222420000","41","Traffic Zone 213710201","9/29/2018 - 9/29/2018, Every day, Daily Average",1976,1568,2489
"1536","Traffic Zone 222420000","53","Traffic Zone 213710202","9/29/2018 - 9/29/2018, Every day, Daily Average",1995,1543,2579
"1536","Traffic Zone 222420000","62","Traffic Zone 213710200","9/29/2018 - 9/29/2018, Every day, Daily Average",1950,1507,2522
"1536","Traffic Zone 222420000","75","Traffic Zone 210820002","9/29/2018 - 9/29/2018, Every day, Daily Average",2025,1720,2383
"1536","Traffic Zone 222420000","83","Traffic Zone 213930100","9/29/2018 - 9/29/2018, Every day, Daily Average",1830,1417,2362
"1536","Traffic Zone 222420000","95","Traffic Zone 213930200","9/29/2018 - 9/29/2018, Every day, Daily Average",1778,1370,2306
"1536","Traffic Zone 222420000","98","Traffic Zone 213930300","9/29/2018 - 9/29/2018, Every day, Daily Average",1748,1347,2267
"1536","Traffic Zone 222420000","100","Traffic Zone 213290000","9/29/2018 - 9/29/2018, Every day, Daily Average",1978,1559,2508
"1536","Traffic Zone 222420000","103","Traffic Zone 213950200","9/29/2018 - 9/29/2018, Every day, Daily Average",1908,1436,2533
"1536","Traffic Zone 222420000","104","Traffic Zone 213270000","9/29/2018 - 9/29/2018, Every day, Daily Average",2061,1622,2618
"1536","Traffic Zone 222420000","105","Traffic Zone 213230000","9/29/2018 - 9/29/2018, Every day, Daily Average",2225,1752,2824
"1536","Traffic Zone 222420000","107","Traffic Zone 213920000","9/29/2018 - 9/29/2018, Every day, Daily Average",1720,1314,2250
"1536","Traffic Zone 222420000","108","Traffic Zone 213950100","9/29/2018 - 9/29/2018, Every day, Daily Average",1865,1354,2567
"1536","Traffic Zone 222420000","123","Traffic Zone 213900000","9/29/2018 - 9/29/2018, Every day, Daily Average",1635,1219,2192
"1536","Traffic Zone 222420000","124","Traffic Zone 213970101","9/29/2018 - 9/29/2018, Every day, Daily Average",1763,1232,2521
"1536","Traffic Zone 222420000","127","Traffic Zone 212751001","9/29/2018 - 9/29/2018, Every day, Daily Average",1847,1532,2225
"1536","Traffic Zone 222420000","128","Traffic Zone 212760200","9/29/2018 - 9/29/2018, Every day, Daily Average",1778,1445,2187
"1536","Traffic Zone 222420000","129","Traffic Zone 214150000","9/29/2018 - 9/29/2018, Every day, Daily Average",1378,975,1945
"1536","Traffic Zone 222420000","130","Traffic Zone 212760100","9/29/2018 - 9/29/2018, Every day, Daily Average",1807,1461,2234
"1536","Traffic Zone 222420000","131","Traffic Zone 211740400","9/29/2018 - 9/29/2018, Every day, Daily Average",1918,1570,2342
"1536","Traffic Zone 222420000","133","Traffic Zone 214140000","9/29/2018 - 9/29/2018, Every day, Daily Average",1497,1080,2074
"1536","Traffic Zone 222420000","134","Traffic Zone 211720000","9/29/2018 - 9/29/2018, Every day, Daily Average",2014,1674,2422
"1536","Traffic Zone 222420000","135","Traffic Zone 212730000","9/29/2018 - 9/29/2018, Every day, Daily Average",1810,1497,2187
"1536","Traffic Zone 222420000","136","Traffic Zone 212771000","9/29/2018 - 9/29/2018, Every day, Daily Average",2157,1460,3184
"1536","Traffic Zone 222420000","137","Traffic Zone 211740600","9/29/2018 - 9/29/2018, Every day, Daily Average",1998,1566,2548
"1536","Traffic Zone 222420000","138","Traffic Zone 211740500","9/29/2018 - 9/29/2018, Every day, Daily Average",1966,1581,2443
"1536","Traffic Zone 222420000","139","Traffic Zone 212752000","9/29/2018 - 9/29/2018, Every day, Daily Average",1928,1503,2472
"1536","Traffic Zone 222420000","140","Traffic Zone 214130200","9/29/2018 - 9/29/2018, Every day, Daily Average",1517,1091,2109
"1536","Traffic Zone 222420000","145","Traffic Zone 212840000","9/29/2018 - 9/29/2018, Every day, Daily Average",1858,1365,2528
"1536","Traffic Zone 222420000","147","Traffic Zone 214160000","9/29/2018 - 9/29/2018, Every day, Daily Average",1329,974,1812
"1536","Traffic Zone 222420000","148","Traffic Zone 212891000","9/29/2018 - 9/29/2018, Every day, Daily Average",1582,1150,2175
"1536","Traffic Zone 222420000","150","Traffic Zone 212880000","9/29/2018 - 9/29/2018, Every day, Daily Average",1684,1246,2274
"1536","Traffic Zone 222420000","156","Traffic Zone 214130100","9/29/2018 - 9/29/2018, Every day, Daily Average",1574,1112,2226
"1536","Traffic Zone 222420000","169","Traffic Zone 214120000","9/29/2018 - 9/29/2018, Every day, Daily Average",1760,1249,2478
"1536","Traffic Zone 222420000","170","Traffic Zone 212870200","9/29/2018 - 9/29/2018, Every day, Daily Average",1544,1107,2152
"1536","Traffic Zone 222420000","179","Traffic Zone 214110000","9/29/2018 - 9/29/2018, Every day, Daily Average",1767,1276,2446
"1536","Traffic Zone 222420000","181","Traffic Zone 212460000","9/29/2018 - 9/29/2018, Every day, Daily Average",1485,1054,2090
"1536","Traffic Zone 222420000","187","Traffic Zone 212360100","9/29/2018 - 9/29/2018, Every day, Daily Average",2042,1489,2800
"1536","Traffic Zone 222420000","188","Traffic Zone 212342000","9/29/2018 - 9/29/2018, Every day, Daily Average",1532,1273,1842
"1536","Traffic Zone 222420000","189","Traffic Zone 212200000","9/29/2018 - 9/29/2018, Every day, Daily Average",1617,1179,2216
"1536","Traffic Zone 222420000","190","Traffic Zone 214390200","9/29/2018 - 9/29/2018, Every day, Daily Average",2035,1833,2258
"1536","Traffic Zone 222420000","191","Traffic Zone 212470000","9/29/2018 - 9/29/2018, Every day, Daily Average",1465,1020,2103
"1536","Traffic Zone 222420000","192","Traffic Zone 212330300","9/29/2018 - 9/29/2018, Every day, Daily Average",1426,1111,1829
"1536","Traffic Zone 222420000","193","Traffic Zone 214340000","9/29/2018 - 9/29/2018, Every day, Daily Average",1418,991,2028
"1536","Traffic Zone 222420000","194","Traffic Zone 214350000","9/29/2018 - 9/29/2018, Every day, Daily Average",1838,1513,2232
"1536","Traffic Zone 222420000","195","Traffic Zone 212440000","9/29/2018 - 9/29/2018, Every day, Daily Average",1627,1353,1955
"1536","Traffic Zone 222420000","196","Traffic Zone 212370000","9/29/2018 - 9/29/2018, Every day, Daily Average",1580,1324,1885
"1536","Traffic Zone 222420000","197","Traffic Zone 212160000","9/29/2018 - 9/29/2018, Every day, Daily Average",1545,1125,2120
"1536","Traffic Zone 222420000","198","Traffic Zone 212330400","9/29/2018 - 9/29/2018, Every day, Daily Average",1489,1085,2042
"1536","Traffic Zone 222420000","199","Traffic Zone 212400000","9/29/2018 - 9/29/2018, Every day, Daily Average",1686,1114,2550
"1536","Traffic Zone 222420000","200","Traffic Zone 212102000","9/29/2018 - 9/29/2018, Every day, Daily Average",1648,1190,2282
"1536","Traffic Zone 222420000","201","Traffic Zone 212101000","9/29/2018 - 9/29/2018, Every day, Daily Average",1696,1242,2315
"1536","Traffic Zone 222420000","202","Traffic Zone 212490100","9/29/2018 - 9/29/2018, Every day, Daily Average",1972,1386,2805
"1536","Traffic Zone 222420000","203","Traffic Zone 212330100","9/29/2018 - 9/29/2018, Every day, Daily Average",1437,1017,2030
"1536","Traffic Zone 222420000","204","Traffic Zone 212380000","9/29/2018 - 9/29/2018, Every day, Daily Average",1470,1053,2050
"1536","Traffic Zone 222420000","205","Traffic Zone 214390100","9/29/2018 - 9/29/2018, Every day, Daily Average",2157,1836,2532
"1536","Traffic Zone 222420000","207","Traffic Zone 212510000","9/29/2018 - 9/29/2018, Every day, Daily Average",1388,984,1957
"1536","Traffic Zone 222420000","208","Traffic Zone 212390000","9/29/2018 - 9/29/2018, Every day, Daily Average",1455,1021,2073
