"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1536","Traffic Zone 222420000","123","Traffic Zone 213900000","1/2/2016 - 1/2/2016, Every day, Daily Average",1693,1202,2383
"1536","Traffic Zone 222420000","129","Traffic Zone 214150000","1/2/2016 - 1/2/2016, Every day, Daily Average",1396,1063,1833
"1536","Traffic Zone 222420000","133","Traffic Zone 214140000","1/2/2016 - 1/2/2016, Every day, Daily Average",1280,982,1667
"1536","Traffic Zone 222420000","140","Traffic Zone 214130200","1/2/2016 - 1/2/2016, Every day, Daily Average",1271,993,1625
"1536","Traffic Zone 222420000","147","Traffic Zone 214160000","1/2/2016 - 1/2/2016, Every day, Daily Average",1390,1033,1869
"1536","Traffic Zone 222420000","181","Traffic Zone 212460000","1/2/2016 - 1/2/2016, Every day, Daily Average",1147,927,1418
"1536","Traffic Zone 222420000","191","Traffic Zone 212470000","1/2/2016 - 1/2/2016, Every day, Daily Average",1089,865,1370
"1536","Traffic Zone 222420000","193","Traffic Zone 214340000","1/2/2016 - 1/2/2016, Every day, Daily Average",1042,827,1312
"1536","Traffic Zone 222420000","204","Traffic Zone 212380000","1/2/2016 - 1/2/2016, Every day, Daily Average",1174,872,1579
"1536","Traffic Zone 222420000","207","Traffic Zone 212510000","1/2/2016 - 1/2/2016, Every day, Daily Average",1140,895,1452
"1536","Traffic Zone 222420000","208","Traffic Zone 212390000","1/2/2016 - 1/2/2016, Every day, Daily Average",1166,858,1584
"1536","Traffic Zone 222420000","214","Traffic Zone 214330000","1/2/2016 - 1/2/2016, Every day, Daily Average",956,718,1271
"1536","Traffic Zone 222420000","215","Traffic Zone 212520000","1/2/2016 - 1/2/2016, Every day, Daily Average",972,662,1426
"1536","Traffic Zone 222420000","226","Traffic Zone 212540000","1/2/2016 - 1/2/2016, Every day, Daily Average",843,717,990
"1536","Traffic Zone 222420000","227","Traffic Zone 214320000","1/2/2016 - 1/2/2016, Every day, Daily Average",932,700,1240
"1536","Traffic Zone 222420000","229","Traffic Zone 214360100","1/2/2016 - 1/2/2016, Every day, Daily Average",972,686,1375
"1536","Traffic Zone 222420000","240","Traffic Zone 214370000","1/2/2016 - 1/2/2016, Every day, Daily Average",945,602,1482
"1536","Traffic Zone 222420000","244","Traffic Zone 232000000","1/2/2016 - 1/2/2016, Every day, Daily Average",927,701,1224
"1536","Traffic Zone 222420000","251","Traffic Zone 231160001","1/2/2016 - 1/2/2016, Every day, Daily Average",1503,915,2466
"1536","Traffic Zone 222420000","253","Traffic Zone 231040000","1/2/2016 - 1/2/2016, Every day, Daily Average",1288,850,1949
"1536","Traffic Zone 222420000","256","Traffic Zone 231060000","1/2/2016 - 1/2/2016, Every day, Daily Average",1120,776,1616
"1536","Traffic Zone 222420000","258","Traffic Zone 231170000","1/2/2016 - 1/2/2016, Every day, Daily Average",1520,894,2583
"1536","Traffic Zone 222420000","260","Traffic Zone 231070100","1/2/2016 - 1/2/2016, Every day, Daily Average",972,700,1349
"1536","Traffic Zone 222420000","262","Traffic Zone 231070201","1/2/2016 - 1/2/2016, Every day, Daily Average",986,694,1399
"1536","Traffic Zone 222420000","263","Traffic Zone 231180000","1/2/2016 - 1/2/2016, Every day, Daily Average",869,644,1170
"1536","Traffic Zone 222420000","264","Traffic Zone 231070200","1/2/2016 - 1/2/2016, Every day, Daily Average",937,668,1313
"1536","Traffic Zone 222420000","266","Traffic Zone 231070300","1/2/2016 - 1/2/2016, Every day, Daily Average",816,636,1046
"1536","Traffic Zone 222420000","337","Traffic Zone 210210200","1/2/2016 - 1/2/2016, Every day, Daily Average",1311,898,1912
"1536","Traffic Zone 222420000","350","Traffic Zone 280050201","1/2/2016 - 1/2/2016, Every day, Daily Average",1964,1456,2648
"1536","Traffic Zone 222420000","351","Traffic Zone 280050200","1/2/2016 - 1/2/2016, Every day, Daily Average",1835,1334,2523
"1536","Traffic Zone 222420000","352","Traffic Zone 280050100","1/2/2016 - 1/2/2016, Every day, Daily Average",1576,1118,2221
"1536","Traffic Zone 222420000","354","Traffic Zone 226260200","1/2/2016 - 1/2/2016, Every day, Daily Average",1447,1068,1960
"1536","Traffic Zone 222420000","355","Traffic Zone 226270100","1/2/2016 - 1/2/2016, Every day, Daily Average",1301,949,1781
"1536","Traffic Zone 222420000","357","Traffic Zone 226270200","1/2/2016 - 1/2/2016, Every day, Daily Average",1143,851,1534
"1536","Traffic Zone 222420000","359","Traffic Zone 270130100","1/2/2016 - 1/2/2016, Every day, Daily Average",1074,792,1455
"1536","Traffic Zone 222420000","360","Traffic Zone 226280000","1/2/2016 - 1/2/2016, Every day, Daily Average",1171,823,1665
"1536","Traffic Zone 222420000","361","Traffic Zone 270140000","1/2/2016 - 1/2/2016, Every day, Daily Average",1125,808,1565
"1536","Traffic Zone 222420000","362","Traffic Zone 270130200","1/2/2016 - 1/2/2016, Every day, Daily Average",1181,875,1593
"1536","Traffic Zone 222420000","363","Traffic Zone 270190001","1/2/2016 - 1/2/2016, Every day, Daily Average",1128,830,1532
"1536","Traffic Zone 222420000","364","Traffic Zone 270190000","1/2/2016 - 1/2/2016, Every day, Daily Average",1013,738,1388
"1536","Traffic Zone 222420000","365","Traffic Zone 270120100","1/2/2016 - 1/2/2016, Every day, Daily Average",1323,929,1883
"1536","Traffic Zone 222420000","366","Traffic Zone 226230100","1/2/2016 - 1/2/2016, Every day, Daily Average",1155,813,1640
"1536","Traffic Zone 222420000","367","Traffic Zone 270150100","1/2/2016 - 1/2/2016, Every day, Daily Average",1170,831,1647
"1536","Traffic Zone 222420000","368","Traffic Zone 270120200","1/2/2016 - 1/2/2016, Every day, Daily Average",1015,868,1186
"1536","Traffic Zone 222420000","369","Traffic Zone 270190002","1/2/2016 - 1/2/2016, Every day, Daily Average",905,670,1220
"1536","Traffic Zone 222420000","370","Traffic Zone 270150200","1/2/2016 - 1/2/2016, Every day, Daily Average",1026,717,1467
